ID,Title,Complain,City,Province,Region,Zone,RM,Day,Month,Year,Correlative,Date,Metadata
1489,multa mal cursada," bueno el sábado pasado estaba con unos amigos transitando por una calle de Iquique cuando de repente me detienen dos patrullas de los carabineros (PACOS) y me hacen bajar como un delincuente solo por el hecho de que la patente trasera hace poco se había soltado por ende espere llegar a mi casa pasa atornillar la, bueno el tema fue que usaron su TIPICO abuso de poder llevándome a la comisaria (sin ningún motivo) luego de llevarme al hospital para hacerme una alcoholemia me soltaron en la comiseria pero con una Multa que dice lo siguiente ""conducir vehículo motorizado y no detenerse ante luz roja del semáforo funcionando y no obedecer a señal de transito a carabineros"" esto es una Multa GRABE GRABISIMA la cual es 100% falsa, a parte de esto al momento de entregar mi billetera y mis documentos a mi señora me percate que me faltaba plata yo tenia 150.000 y me la entregaron con 50.000 a parte de esto me sacaron unas tarjetas de la cta cte, bueno el 29 de noviembre tengo que presentarme al juzgado de IQQ, bueno quisiera saber si tengo una chance de explicar este ROBO por parte de carabineros ante el juez o va a quedar impune ante la palabra de FE de estos *******s ...","

Iquique", Iquique,1,1,0,  16,11,2012,201211,2012/11/16,"Publicado por: IP 190.164.117.2 el Viernes, Noviembre 16, 2012 - 19:02. La persona que publicó este contenido se ha identificado internamente con su nombre, rut y otros datos aportados voluntariamente. Para tomar contacto con el autor considere las alternativas que se presentan a continuación. Las opiniones publicadas por los usuarios en el foro no reflejan necesariamente la opinión de los administradores."
1475,partes indebidos y abuso de autoridad," carabineros de Salamanca cursa Partes indebidos. Con fecha 18 de nov. carabineros me toma la placa patente de mi vehículo para realizar una multa por tocar la bocina en una intersección, a las 13:00 hrs no siendo informado ni multado, solo llega un parte empadronado a mi domicilio.Ese día 18 de nov. mi vehículo estaba estacionado dentro del recinto de la iglesia desde las 9:00 hrs. hasta las 14:00 hrs. Motivo, estábamos en una celebración religiosa debido a que mi hija realizó su primera comunión y posterior a ello en el salón parroquial se les hizo un ágape y entrega de recuerdos, no entiendo el proceder de carabineros que es muy normal en ellos aquí abusar de la autoridad y de las personas desvalidas no así de los revoltosos y delincuentes, nadie los fiscaliza creyéndose dueños de la ciudad, además permiten el funcionamiento de una discoteque los fines de semana con menores de edad de entre 13 y 14 años hacia arriba terminando completamente ebrios y provocando desmanes en la madrugada ya sea a pie o en sus vehículos. carabineros recibe incentivos del dueño de la discoteque (coimas) .gracias.","

Salamanca", Choapa,4,1,0,  05,12,2012,201212,2012/12/05,"Publicado por: IP 200.111.151.250 el Miércoles, Diciembre 5, 2012 - 15:09. La persona que publicó este contenido se ha identificado internamente con su nombre, rut y otros datos aportados voluntariamente. Para tomar contacto con el autor considere las alternativas que se presentan a continuación. Las opiniones publicadas por los usuarios en el foro no reflejan necesariamente la opinión de los administradores."
1479,poca educacion, encuentro que la seguridad de mi país no puede estar en manos de unas personas en la que la misma institución exige solo 8º básico así no podemos pedir que tengan respeto si una persona ignorante con poca educación al verse con un poco de autoridad no saben como manejarla así después vemos como faltan a los derechos humanos pasando a llevar a quien se les ponga por delante me gustaría que por lo menos les exigan 4º medio con una inducción a los derechos humanos para que así no veamos tanta maldad y tanto abuso de poder en quienes se supone esta la seguridad de todos los chilenos,"

Calera", Quillota,5,2,0,  30,11,2012,201211,2012/11/30,"Publicado por: IP 200.90.239.182 el Viernes, Noviembre 30, 2012 - 15:29. La persona que publicó este contenido se ha identificado internamente con su nombre, rut y otros datos aportados voluntariamente. Para tomar contacto con el autor considere las alternativas que se presentan a continuación. Las opiniones publicadas por los usuarios en el foro no reflejan necesariamente la opinión de los administradores."
1484,resguardo por la seguridad ciudadana en cauquenes ," Estimados señores, desde el mes de agosto vivo en la calle Villalobos de la comuna de Cauquenes en cual previa información de vecinos un sector muy tranquilo y que nunca pasa nada.Pero para mi sorpresa desde esa fecha hasta el momento han existido una serie de asaltos los cuales no han sido menores. Por ejemplo casa del alcalde donde roban joyas y otro el pasado miércoles 21 en el cual a un vecino le robaron su vehículo desde su puerta de la casa a las 08 de la mañana.De acuerdo a la información entregada por la 4ta. comisaria de carabineros ellos saben quien es el delincuente que comete estos delitos pero mi consulta es están realizando algo?????.Ellos me solicitaron a MI que pusiera alarma en la casa que viera el tema de seguridad en mi familia y ellos mientras tanto ni siquiera realizan rutinas de rondas en el sector sabiendo que el delincuente vive ahí mismo. Cabe señalar que hace unos pocos meses se instauró el plan cuadrante por lo tanto existe una dotación de personas como para realizar un mejor trabajo, según reportaje de la seguridad chilena ""CAUQUENES ES LA CIUDAD MAS SEGURA PARA VIVIR"", porque existen tantos carabineros controlando el transito cuando hay feria cual es el sentido sino quieren velar por la seguridad de la ciudadanía cuando realmente es necesario.Creo que están mal enfocados y haciendo pésimamente su labor.por favor necesito más Resguardo por parte de carabineros y además que este delincuente que ya perdió el miedo a robar, porque sabe cual es el procedimiento se tomen medidas más duras para que no vuelva a repetirse los hechos.Además se enviará carta formal a la 4ta. comisaria para nuevamente insistir en el tema. Atenta a su pronta respuesta,Ma. Cecilia Gonzálezfono: 09-4011372","

Cauquenes", Cauquenes,7,2,0,  22,11,2012,201211,2012/11/22,"Publicado por: IP 200.112.82.21 el Jueves, Noviembre 22, 2012 - 10:51. La persona que publicó este contenido se ha identificado internamente con su nombre, rut y otros datos aportados voluntariamente. Para tomar contacto con el autor considere las alternativas que se presentan a continuación. Las opiniones publicadas por los usuarios en el foro no reflejan necesariamente la opinión de los administradores."
1488,robos constantes," Buenas noches mi reclamo es contra carabineros de concepcion, cada dia desde mi departamento soy testigo de como chicos menores de edad asen de las suyas robandole a los automobilistas, cada vez qe llamo al 133 no obtengo respuesta, y no solo le afecta a las personas qe van en los autos sino tambien a los vecinos de mi edificio ya qe vemos perturbada nuestra tranquilidad.","

Concepción", Concepción,8,3,0,  18,11,2012,201211,2012/11/18,"Publicado por: IP 186.106.79.158 el Domingo, Noviembre 18, 2012 - 00:35. La persona que publicó este contenido se ha identificado internamente con su nombre, rut y otros datos aportados voluntariamente. Para tomar contacto con el autor considere las alternativas que se presentan a continuación. Las opiniones publicadas por los usuarios en el foro no reflejan necesariamente la opinión de los administradores."
1472,agradecimientos, el dia sabado 15-12-2012.tuve un problema familiar bastante GRAVE .ASI QUE CONCURRI A LA COMISARIA DE LO BARNECHEA.DONDE FUI ATENDIDO POR UN CABO PRIMERO.ALLA EXPLIQUE QUE mi hijo DE 16 AÑOS SE ENCONTRABA EXTRAVIADO.YO LO UNICO QUE PUDE APORTAR FUE UN NOMBRE INCOMPLETO DE UNA DE SUS AMIGAS LA CUAL VIVIA EN DICHA COMUNA.ELLOS CON UN PROFESIONALISMO Y amabilidad.ENCONTRARON EL DOMICILIO DE ESTA NIÑA Y ME TRASLADARON EN UN VEHICULO policial HACIA EL.Y ASI PUDE SABER EL PARADERO DE mi hijo.Y YA LO TENGO CONMIGO EN MI CASA. ES POR ESO QUE QUIERO AGRADECER A carabineros de Chile Y EN ESPECIAL A LA GUARDIA QUE SE ENCONTRABA EL DIA SABADO EN LA MAÑANA EN LA COMISARIA DE LO BARNECHEA.SE DESPIDE UN CIUDADANO MUY AGRADECIDO DE carabineros DE CHILE.,"

Puente Alto", Cordillera,13,4,1,  17,12,2012,201212,2012/12/17,"Publicado por: IP 201.239.108.68 el Lunes, Diciembre 17, 2012 - 10:16. La persona que publicó este contenido se ha identificado internamente con su nombre, rut y otros datos aportados voluntariamente. Para tomar contacto con el autor considere las alternativas que se presentan a continuación. Las opiniones publicadas por los usuarios en el foro no reflejan necesariamente la opinión de los administradores."
1487,un carabinero q trabaja en escritorio se cuelga la chapa para amenasar, bueno esto empeso ase rato un acoso que ya no da mas y para empesar no somos delincuentes vasta revisar y tenemos todos nuestros papeles limpios si el único crimen al parecer para este caballero y sus amigos de este condominio es ser sureño y haber recibido una herencia todo esto se dieron el lujo ellos mismo de averiguarlo pura envidia pasa que vivo en un condominio de puente alto llamado brisas del maipo de puente alto camino a las viz cachas y mi vecino ce cuelga de la chapa para amenazar 1 si se paso la perra en el verano cuando yo estaba con una amiga igual de la institucion pero fue por que el que se paso primero fue el razon no supe de ay que mi perra no lo puede ver ese día estábamos con mi amiga compartiendo a luz apagada cuando el vecino salto inesperadamente a mi patio prendimos las luces y se devolvió al del tirándose mi perra en sima así empezó todo motivo quisimos aclarar y se corrió olimpicamente al día siguiente mi perra salto al patio de el cosa que en 2 años que vivo aquí mi perra nunca lo había echo y bueno yo quise arreglar el cerco para que no volviera a pasar no me dejo uso la escusa que se asía lo que el decía ya que trabajaba para carabineros mas encima gritan dome como si estuviera con un hombre o fuese mi padre umillandome diciendo todos pueden estacionar afuera de su casa menos yo que tal y mas encima que yo sufro de epilepsia y no debo pasar malos ratos y la perra la pase al patio adelante para arreglar el asunto que se asía insostenible pero no había caso igual el llamo a carabineros que lo cómico que vinieron y me pidieron disculpas cuando vieron era en mi casa es que el vecino me dijo yo tenia que entender el no quería a mi perra ni adelante ni atrás entonces durmió un tiempo con nosotros solo la sacábamos a hacer sus necesidades desarmamos el living para que no lo estropease la perra se porto igual que una persona ni siquiera se hizo adentro de la casa pobre bueno apenas tuvimos unos pesos compramos 8 metros de cadena que tampoco es gusto pero como esta casa la estamos vendiendo espero nos vayamos pronto a pero al vecino eso tampoco le agrado y como tenemos un auto estacionado que se pasa un poco de la cola asía su lado que es el muro dijo mandaría la grúa para se yeven el auto y que le diría a su padre que era carabinero o fue carabinero mejor dicho que feo usen la placa para aprovecharse de los demás a y eso no es todo un día se cabrio mi hijo que tiene 15 años salio el a hablar con el y el le ofrecía del otro lado de la reja a mi hijo q saliera por que era hombre para encararlo mi amiga la carabinera fue a pararle los carros y el respondió que mi hijo podía enfrentarlo le dijimos que mi hijo tenia 15 y el no savia donde meterse pensó parece tenia mas si solo es un niño y el se aprovechó que mi marido no estaba en ese momento con nosotros ya que estábamos medios peleados ahora esta mi marido y se agarro con el por el auto claro si el pidiera las cosas o habla como caballero con buenas palabras otro gallo cantaria el se llama franco y vive en franca oriente 232 condominio brisas del maipo bueno por lo demás aclaro que yo no tengo nada en contra de la institución ya que tengo mi prima y tío etc que pertenecen a carabineros pero la actitud de este caballero de colgarse de la placa deja harto que desear y mas encima que el solo trabaja como yo averigüé para la institucion a y también a causa de todos los demás a coso que iso el y sus amigos de aquí del condominio que logro el y estas personas que mi hijo se enfermara a de una depresión enorme que le vino que no pudo estudiar con certificado medico y remedio lo tengo si asta nos calumnio por tener bonitos autos y uno deportivo de eramos traficantes y se puso de acuerdo con varios para joder todo por envidia si ni siquiera metemos ruido ojalas no se fuera buena siquiera para hacer fiesta para hablara con razón yo no tengo culpa ninguna mi padre tuviera un buen puesto y hubiera trabajado en la enap y tampoco tengo culpa de ser sobrina de mauricio pesutic el que hizo del chingao ya se paso de castaño oscuro este vecino y los amigos que se coludieron de el que al auto le echaron azucar al estanque de bencina y recién llegados nos tiraron a los carabineros vieron toda mi posesión efectiva sin documento ninguno del fiscal aparte un día saliendo con el auto nos soltaron tarde en la noche la llanta que voló lejos huy nos han echo tantas cosas y joder que uno dijo que era por tener todo lo que teníamos teníamos que entender nos aviamos venido a rrecagar a una comuna de gente pobre y por eso molestaban se excusó por eso me quiso pegar yo sin entender nada todo fue ese día por mi amiga de al frente me presto estacionamiento en su casa para mi grúa y este vecino es otro pero amigo de el averiguenme y verán q no soy una delincuente ni yo ni mi familia mas encima cuando tuvimos mucha plata todos estos nos picaron como zancudos ahora ya ni servimos si asta de viejo pascuero les ise el año pasado por ellos no tenían como pagar uno y como yo tenia el traje lo ise yo ya que estoy acostumbrada a hacerlo para mi hija que tiene 4 años de la cual se ríen y le dicen cosas a sus hijos para le digan a ella mi hija no sale aquí a jugar desde ya gracias por escucharme,"

Puente Alto", Cordillera,13,4,1,  18,11,2012,201211,2012/11/18,"Publicado por: IP 181.42.218.217 el Domingo, Noviembre 18, 2012 - 12:47. La persona que publicó este contenido se ha identificado internamente con su nombre, rut y otros datos aportados voluntariamente. Para tomar contacto con el autor considere las alternativas que se presentan a continuación. Las opiniones publicadas por los usuarios en el foro no reflejan necesariamente la opinión de los administradores."
1481,"carabineros cobardes, mentirosos y faltos de verdad"," Hasta cuando quienes se dicen ser protectores de la Ley y de la seguridad ciudadana siguen actuando de forma tan Cobarde y faltando en absoluto a la verdad. Y peor aun, amparados por el ""Alto Mando"", todos corruptos y mentirosos. Hasta cuando!!!... Agrediendo a quienes, con todo el derecho como ciudadanos, tenemos pleno derecho a manifestarnos publicamente, siempre y en todas aquellas ocasiones que creemos de plena justicia. No tenemos porque estar solicitando permisos para manifestarnos. Eso no es democracia!!!","

San Bernardo", Maipo,13,4,1,  28,11,2012,201211,2012/11/28,"Publicado por: IP 200.83.26.43 el Miércoles, Noviembre 28, 2012 - 21:10. La persona que publicó este contenido se ha identificado internamente con su nombre, rut y otros datos aportados voluntariamente. Para tomar contacto con el autor considere las alternativas que se presentan a continuación. Las opiniones publicadas por los usuarios en el foro no reflejan necesariamente la opinión de los administradores."
1467,control policial o gran negocio?," control policial o negocio comunal?situacion real que me ocurrio ayer jueves 27 dic ruta 68 sector CURACAVI OJO.....EN UNA LARGA PENDIENTE DE BAJADA HACIA STGO,SEÑALETICA 120 KM VEL MAX 4 PISTAS......SI DARME CUENTA MI AUTO SEGUN CARABINERO CON SU PISTOLA ESPERANSO INCAUTOS CONDUCTORES ME DETIENE AL FINAL DE LA BAJADA....SR UD....MARCO .... A131 KM INFACCION GRAVISIMA.....LE DOY EXPLICACION ... CAUSA LARGA PENDIENTE .. EL AUTO SE ACELERA.....CUENTO CORTO...SUSPENCIO N LICENCIA 60.000 MULTA Y LO PEOR ... EL PAGO SOLO EN CURACAVI........ *******s ............POR 11KM. TENDRE QUE .VOLVER......COMO DEMUES TRO QUE MI AUTO SE ACELERA LEVEMENTE INCLUSO AL FRENAR Y LLEGAR ANTE UNA LUZ ROJA?.......GRAN NEGOCIO......","

Ñuñoa", Santiago,13,4,1,  28,12,2012,201212,2012/12/28,"Publicado por: IP 190.161.85.213 el Viernes, Diciembre 28, 2012 - 14:16. La persona que publicó este contenido se ha identificado internamente con su nombre, rut y otros datos aportados voluntariamente. Para tomar contacto con el autor considere las alternativas que se presentan a continuación. Las opiniones publicadas por los usuarios en el foro no reflejan necesariamente la opinión de los administradores."
1470,falta de prolijidad en procedimiento," El día 30 de Octubre 2012, fui participe en un accidente de transito en la comuna de la cisterna,el Procedimiento fue tomado por personal de la 10 comisaria de esa comuna, el día de ayer fui a consultar a la fiscalia sur sobre mi caso en el cual me dan a conocer que se informo al tribunal que dicho accidente se trato de un atropello y no colisión como fue lo que realmente ocurrió en mi vehículo y un ciclista ademas este señor (victima) figura como chileno siendo que es peruano y con Nro. de Pasaporte, cuando no portaba ningún documento al momento del altercado.Ademas en mi declaración figura que me fueron leídos mis derechos, lo que no fue efectivo ya que los Sres. carabineros estaban tan apurados por que ya finalizaba su turno que me dejaron esperando hasta que el turno entrante terminara el procedimiento.Mi molestia también pasa por la Falta de conocimiento de el personal policial ya que hasta la fecha no he podido recuperar mi licencia de conducir siendo que después de 07 días tenia la posibilidad de solicitar su devolución en la fiscalia, información que no me fue entregada por el personal que tomo el procedimiento.","

El Bosque", Santiago,13,4,1,  18,12,2012,201212,2012/12/18,"Publicado por: IP 186.78.142.158 el Martes, Diciembre 18, 2012 - 01:26. La persona que publicó este contenido se ha identificado internamente con su nombre, rut y otros datos aportados voluntariamente. Para tomar contacto con el autor considere las alternativas que se presentan a continuación. Las opiniones publicadas por los usuarios en el foro no reflejan necesariamente la opinión de los administradores."
